name,image,column,row
C-Star Travel,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_CStar_J8.png,J,8
PULLMAN DANANG BEACH RESORT,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Pullman%20Danang_J3.png,J,3
Công ty TNHH Đầu Tư Và Phát Triển FOY VIỆT NAM,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_FOY_I8.png,I,8
BELLERIVE HOI AN RESORT & SPA,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_BELLERIVE_M5.jpg,M,5
Meliá Vinpearl hotels - Central Vietnam,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Meli%C3%A1%20Vinpearl%20hotels%20-%20Central%20Vietnam_K3.png,K,3
OM TOURS VIETNAM,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_OM%20TOURS_E8.jpg,E,8
FLC,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_FLC_F8.png,F,8
Sandy Beach Non Nuoc Resort,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Sandy%20Beach_F2.jpeg,F,2
CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM - VNPAY,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_VNPAY_E2.png,E,2
Công ty Cổ phần Trí tuệ Nhân tạo Việt Nam AIAIVN,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_C%C3%B4ng%20ty%20C%E1%BB%95%20ph%E1%BA%A7n%20Tr%C3%AD%20tu%E1%BB%87%20Nh%C3%A2n%20t%E1%BA%A1o%20Vi%E1%BB%87t%20Nam%20AIAIVN_A4.png,A,4
